Date,0,1,2,3,4,Total
12/18/2015,16,9,16,13,1,55
12/19/2015,16,6,5,18,,45
12/20/2015,20,13,17,23,,73
12/21/2015,9,7,7,18,,41
12/22/2015,15,15,21,15,,66
12/23/2015,12,8,19,19,,58
12/24/2015,11,6,16,19,,52
12/25/2015,17,13,10,23,,63
12/26/2015,18,11,20,21,1,71
12/27/2015,9,1,9,18,,37
12/28/2015,10,7,12,12,2,43
12/29/2015,10,6,13,16,1,46
12/30/2015,11,6,12,18,4,51
12/31/2015,7,6,10,12,1,36
01/01/2016,25,18,21,33,,97
01/02/2016,18,11,10,17,,56
01/03/2016,9,9,20,17,1,56
01/04/2016,15,10,8,21,,54
01/05/2016,14,13,5,13,,45
01/06/2016,15,10,11,16,,52
01/07/2016,8,9,11,12,,40
01/08/2016,10,10,16,15,2,53
01/09/2016,18,6,14,20,,58
01/10/2016,18,5,17,12,,52
01/11/2016,10,9,10,20,1,50
01/12/2016,16,6,17,16,1,56
01/13/2016,15,9,14,13,,51
01/14/2016,15,4,18,15,,52
01/15/2016,9,8,15,15,1,48
01/16/2016,14,15,8,22,,59
01/17/2016,18,18,15,18,,69
01/18/2016,7,9,12,22,,50
01/19/2016,10,8,9,10,1,38
01/20/2016,11,6,21,18,,56
01/21/2016,7,12,11,23,,53
01/22/2016,14,7,15,20,1,57
01/23/2016,21,13,13,27,,74
01/24/2016,14,8,17,18,3,60
01/25/2016,11,12,13,12,1,49
01/26/2016,13,7,15,10,,45
01/27/2016,12,9,20,9,,50
01/28/2016,11,11,11,14,,47
01/29/2016,10,10,12,16,1,49
01/30/2016,13,14,25,23,,75
01/31/2016,23,6,10,22,,61
02/01/2016,14,14,12,16,,56
02/02/2016,10,8,10,14,,42
02/03/2016,11,11,24,20,1,67
02/04/2016,16,13,16,17,,62
02/05/2016,14,15,15,17,1,62
02/06/2016,10,12,23,22,,67
02/07/2016,25,11,18,18,1,73
02/08/2016,15,14,13,9,,51
02/09/2016,11,11,21,14,,57
02/10/2016,16,11,15,14,,56
02/11/2016,15,12,15,12,,54
02/12/2016,11,7,11,14,1,44
02/13/2016,14,8,19,21,1,63
02/14/2016,18,15,18,33,,84
02/15/2016,11,14,15,26,,66
02/16/2016,12,9,20,14,,55
